Site,Project,Wetland Type,Latitude,Longitude,County,Ecoregion,Mitigation Site Type,Long Term,Year Project Began,Year Project Ended,Vegetation,Macroinvertebrates,Amphibians,Soil Chemistry,Water Quality,Hydrology,Rapid Assessments
Hart,Field Verification,Basin,36.2222011,-78.55124331,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Hewitt Wildlife,Field Verification,Riverine Swamp Forest,33.986219,-78.250267,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Kim-Brooks,Field Verification,Bottomland Hardwood Forest,36.27448207,-78.6061374,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Lockwood,Field Verification,Riverine Swamp Forest,34.011522,-78.262506,Brunswick,Coastal Plain,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Martin-Amment,Field Verification,Basin,33.9767604,-78.19587828,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Mercer Seawatch,Field Verification,Riverine Swamp Forest,33.96453083,-78.18521833,Brunswick,Coastal Plain,,N,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Mill Creek,Field Verification,Basin,33.96616905,-78.21654243,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Munn,Field Verification,Bottomland Hardwood Forest,36.17578053,-78.56080241,Granville,Piedmont,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Powers,Field Verification,Bottomland Hardwood Forest,36.3211873,-78.574811,Granville,Piedmont,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Rourk,Field Verification,Riverine Swamp Forest,33.95820139,-78.21973174,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Seawatch Bay,Field Verification,Basin,33.940256,-78.185064,Brunswick,Coastal Plain,,N,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Seawatch Nautica,Field Verification,Basin,33.97946583,-78.18528028,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Sikka,Field Verification,Basin,33.96979213,-78.22590741,Brunswick,Coastal Plain,,Y,2006,2013,Yes,No,Yes,Yes,Yes,Yes,Yes
Winding River Pond,Field Verification,Riverine Swamp Forest,33.98080139,-78.23702028,Brunswick,Coastal Plain,,N,2006,2008,Yes,No,Yes,Yes,Yes,Yes,Yes
Winding River Townhouse,Field Verification,Riverine Swamp Forest,33.98065,-78.23862667,Brunswick,Coastal Plain,,N,2006,2008,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Batchelor,Headwater,Headwater,34.7844369,-77.66183247,Onslow,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Battle Park,Headwater,Headwater,35.96180556,-77.80455833,Nash,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Black Ankle Non-Powerline,Headwater,Headwater,35.50258,-79.81959,Montgomery,Piedmont,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Black Ankle Powerline,Headwater,Headwater,35.50305,-79.820014,Montgomery,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Boddie Noell,Headwater,Headwater,35.97354,-77.81691,Nash,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cox,Headwater,Headwater,34.28041,-78.78434,Columbus,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Duke Forest,Headwater,Headwater,35.9675057,-79.096848,Orange,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
East of Fayetteville North,Headwater,Headwater,35.075139,-78.795575,Cumberland,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
East of Fayetteville South,Headwater,Headwater,35.06939,-78.79695,Cumberland,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
East of Mason,Headwater,Headwater,35.6862173,-78.926245,Wake,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fire Tower,Headwater,Headwater,35.33598,-79.60082,Moore,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hog Farm Lower,Headwater,Headwater,34.81589,-78.3445,Sampson,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hog Farm Upper,Headwater,Headwater,34.812972,-78.347361,Sampson,Coastal Plain,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Kelly Road,Headwater,Headwater,35.706647,-78.883097,Wake,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Moonshine,Headwater,Headwater,35.75352,-78.69317,Wake,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nahunta,Headwater,Headwater,35.50473906,-78.08300843,Wayne,Coastal Plain,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PCS,Headwater,Headwater,35.28295809,-76.8551055,Beaufort,Coastal Plain,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pete Harris,Headwater,Headwater,36.295065,-78.1064155,Warren,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rough Rider,Headwater,Headwater,36.52478,-76.70789,Gates,Coastal Plain,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Spring Garden,Headwater,Headwater,36.3533238,-79.7228519,Rockingham,Piedmont,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Troxler,Headwater,Headwater,36.11507471,-79.47388616,Alamance,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Umstead,Headwater,Headwater,35.859483,-78.769844,Wake,Piedmont,,N,2004,2006,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Walmart,Headwater,Headwater,35.1590717,-79.4222212,Moore,Piedmont,,Y,2004,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Burlington Tickle,NCWAM,Headwater,36.12897,-79.44254,Alamance,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Durham Church,NCWAM,Headwater,35.96801,-78.91077,Durham,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Durham Rockwood Park,NCWAM,Headwater,35.973778,-78.923977,Durham,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Greensboro Jarvis,NCWAM,Headwater,35.998995,-79.869455,Guilford,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Greenville Lake View,NCWAM,Headwater,35.589954,-77.38787,Pitt,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hog Farm New,NCWAM,Headwater,34.81537,-78.344619,Sampson,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Raleigh Beacon Hill,NCWAM,Headwater,35.80462,-78.567766,Wake,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rocky Mount Halifax,NCWAM,Headwater,35.979807,-77.868667,Nash,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rocky Mount Raper,NCWAM,Headwater,35.985875,-77.832248,Edgecombe,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Wilson Cutover,NCWAM,Headwater,35.740413,-77.969125,Wilson,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Wilson Target,NCWAM,Headwater,35.739585,-77.964213,Wilson,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023,NWCA,Bottomland Hardwood Forest,35.653662,-77.620743,Pitt,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2025,NWCA,Estuarine Woody,34.883642,-76.515953,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2026,NWCA,Estuarine Woody,35.489604,-75.988844,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2027,NWCA,Riverine Swamp Forest,36.423808,-77.419484,Northampton,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2028,NWCA,Hardwood Flat,35.698009,-76.230592,Tyrrell,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2030,NWCA,Brackish/Salt Marsh,34.676177,-77.06486,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2031,NWCA,Pocosin,34.956292,-77.83726,Duplin,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2032,NWCA,Pocosin,35.581278,-75.910767,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2033,NWCA,Estuarine Woody,35.395945,-76.307761,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2034,NWCA,Pocosin,34.888933,-77.426527,Onslow,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2035,NWCA,Hardwood Flat,35.535148,-76.799213,Beaufort,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2036,NWCA,Riverine Swamp Forest,35.950752,-76.123882,Tyrrell,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2038,NWCA,Brackish/Salt Marsh,34.780921,-76.404705,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2039,NWCA,Hardwood Flat,35.632932,-77.699729,Greene,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2040,NWCA,Hardwood Flat,35.24922,-76.615941,Pamlico,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2042,NWCA,Riverine Swamp Forest,35.728596,-76.539958,Washington,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2043,NWCA,Pocosin,34.016834,-78.326964,Brunswick,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2044,NWCA,Hardwood Flat,35.694665,-76.227398,Tyrrell,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2045,NWCA,Brackish/Salt Marsh,35.39328,-76.380814,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2047,NWCA,Pine Flat,34.443874,-77.723825,Pender,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2048,NWCA,Brackish/Salt Marsh,35.572029,-75.910813,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2049,NWCA,Brackish/Salt Marsh,35.388327,-76.319355,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2051,NWCA,Pine Flat,35.089304,-77.474503,Jones,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2052,NWCA,Brackish/Salt Marsh,34.92788,-76.300512,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2055,NWCA,Bottomland Hardwood Forest,36.086228,-77.658446,Edgecombe,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2056,NWCA,Hardwood Flat,35.695369,-76.23517,Tyrrell,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2058,NWCA,Pocosin,35.692408,-76.468125,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2059,NWCA,Bottomland Hardwood Forest,35.099035,-78.049175,Duplin,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2061,NWCA,Brackish/Salt Marsh,35.361216,-76.355754,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2064,NWCA,Pocosin,35.765154,-75.880161,Dare,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2065,NWCA,Brackish/Salt Marsh,35.379086,-76.30373,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2066,NWCA,Brackish/Salt Marsh,34.804394,-76.45315,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2067,NWCA,Pine Flat,35.091465,-77.474617,Jones,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2068,NWCA,Brackish/Salt Marsh,34.993147,-76.549161,Carteret,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2069,NWCA,Brackish/Salt Marsh,35.164696,-75.829848,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2070,NWCA,Brackish/Salt Marsh,36.284334,-75.86739,Currituck,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2071,NWCA,Riverine Swamp Forest,36.1088,-77.286999,Halifax,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2072,NWCA,Hardwood Flat,35.698259,-76.235273,Tyrrell,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2073,NWCA,Pine Flat,35.590452,-76.460459,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2074,NWCA,Brackish/Salt Marsh,35.677072,-75.495894,Dare,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2075,NWCA,Bottomland Hardwood Forest,34.968306,-77.87288,Duplin,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2076,NWCA,Brackish/Salt Marsh,35.601872,-75.818585,Dare,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2077,NWCA,Brackish/Salt Marsh,35.385538,-76.305833,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2078,NWCA,Riverine Swamp Forest,34.83479,-77.186337,Onslow,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2079,NWCA,Brackish/Salt Marsh,35.545496,-76.526605,Beaufort,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2080,NWCA,Riverine Swamp Forest,35.787762,-75.881008,Dare,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
2081,NWCA,Brackish/Salt Marsh,35.414665,-76.429716,Hyde,Coastal Plain,,N,2011,2011,Yes,No,No,Yes,Yes,No,Yes
1001,NWCA Intensification,Bottomland Hardwood Forest,36.31538581,-78.56373871,Granville,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1002,NWCA Intensification,Bottomland Hardwood Forest,35.88483902,-78.76901298,Wake,Piedmont,,Y,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1004,NWCA Intensification,Bottomland Hardwood Forest,35.37138099,-80.70158895,Cabarrus,Piedmont,,Y,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1006,NWCA Intensification,Bottomland Hardwood Forest,35.37779586,-80.70846365,Cabarrus,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1014,NWCA Intensification,Riverine Swamp Forest,34.96390466,-77.88570044,Duplin,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1016,NWCA Intensification,Riverine Swamp Forest,36.24324264,-77.45391218,Halifax,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1018,NWCA Intensification,Riverine Swamp Forest,35.10785861,-78.06544973,Duplin,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1091,NWCA Intensification,Bottomland Hardwood Forest,36.29995646,-78.52826185,Granville,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1092,NWCA Intensification,Bottomland Hardwood Forest,36.30579832,-78.54164605,Granville,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1095,NWCA Intensification,Bottomland Hardwood Forest,36.31152046,-78.56184145,Granville,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1097,NWCA Intensification,Bottomland Hardwood Forest,35.37397296,-80.70687864,Cabarrus,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1098,NWCA Intensification,Bottomland Hardwood Forest,35.67199107,-80.72817163,Rowan,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1101,NWCA Intensification,Bottomland Hardwood Forest,35.37312172,-80.70943658,Cabarrus,Piedmont,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1144,NWCA Intensification,Riverine Swamp Forest,35.10180774,-78.57590028,Sampson,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1149,NWCA Intensification,Riverine Swamp Forest,36.091949,-77.66135673,Edgecombe,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1150,NWCA Intensification,Riverine Swamp Forest,34.96067884,-77.87131782,Duplin,Coastal Plain,,Y,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1154,NWCA Intensification,Riverine Swamp Forest,35.10699157,-78.0537046,Duplin,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1157,NWCA Intensification,Riverine Swamp Forest,35.73257979,-77.48719094,Pitt,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1159,NWCA Intensification,Riverine Swamp Forest,34.96230748,-77.86700008,Duplin,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1161,NWCA Intensification,Riverine Swamp Forest,35.92068082,-78.04297049,Nash,Coastal Plain,,Y,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1034,NWCA Intensification,Riverine Swamp Forest,33.56174556,-80.45917408,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1036,NWCA Intensification,Riverine Swamp Forest,33.76045863,-80.58079144,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1037,NWCA Intensification,Riverine Swamp Forest,34.40166171,-79.67543725,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1040,NWCA Intensification,Riverine Swamp Forest,33.4307426,-80.3026811,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1087,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1246,NWCA Intensification,Riverine Swamp Forest,34.09629286,-79.47878284,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1248,NWCA Intensification,Riverine Swamp Forest,33.41596232,-80.29951065,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1256,NWCA Intensification,Riverine Swamp Forest,33.76721211,-80.5865708,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1257,NWCA Intensification,Riverine Swamp Forest,34.17228107,-79.55306506,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1491,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1508,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1510,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1519,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1522,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1536,NWCA Intensification,Riverine Swamp Forest,,,,Coastal Plain,,N,2012,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 1,SEIWA IWC,Basin,34.686094,-78.584228,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 17,SEIWA IWC,Basin,34.71814,-78.461764,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
